Team,Golfer,Jan 26-29 Farmers Insurance Open,Feb 2-5 Waste Management Phoenix Open ,Feb 9-12 AT&T Pebble Beach Pro-Am,Feb 16-19  Genesis Open ,Feb 23-26  Honda Classic,Mar 2-5 WGC-Mexico Championship ,Mar 9-12  Valspar Champion,Mar 16-19  Arnold Palmer Invitational,Mar 22-26  WGC-Dell Match Play,Mar 30-Apr 2  Shell Houston Open,Apr 6-9  Masters,Apr 13-16  RBC Heritage,Apr 20-23  Valero Texas Open,Apr 27-30  Zurich Classic of New Orleans,May 4-7  Wells Fargo Championship,May 11-14  The Players Championship,May 18-21  AT&T Byron Nelson,May 25-28  Dean & DeLuca Invitational,Jun 1-4  Memorial Tournament,Jun 8-11  FedEx St. Jude Classic,Jun 15-18  U.S. Open,Jun 22-25  Travelers Championship,Jun 29-Jul 2  Quicken Loans National,Jul 6-9  The Greenbrier Classic,Jul 13-16  John Deere Classic,Jul 20-23  British Open,Jul 20-23  Barbasol Championship ,Jul 27-30  RBC Canadian Open,Aug 3-6  WGC-Bridgestone Invitational,Aug 10-13  PGA Championship,Aug 17-20  Wyndham Championship,Aug 24-27  The Northern Trust,Sep 1-4  Deutsche Bank Championship,Sep 14-17  BMW Championship,Sep 21-24  Tour Championship
H-Town Bites,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-Town Bites,Rory McIlroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-Town Bites,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Roth,Adam Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Roth,Bryson DeChambeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Roth,Charl Schwartzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Roth,Ian Poulter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Roth,Jason Dufner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Roth,Louis Oosthuizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Jurgy,Bubba Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Jurgy,Daniel Summerhays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Jurgy,Jordan Spieth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Jurgy,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Jurgy,Smylie Kaufman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Jurgy,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Ross,Brendan Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Ross,Henrik Stenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Ross,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Ross,Jason Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Ross,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Ross,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Grant,Bryson DeChambeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Grant,Chris Kirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Grant,Henrik Stenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Grant,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Grant,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Grant,Russell Knox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson to Johnson,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson to Johnson,Jimmy Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson to Johnson,Justin Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson to Johnson,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson to Johnson,Rickie Fowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson to Johnson,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgy/Janke 1,Brooks Koepka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgy/Janke 1,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgy/Janke 1,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgy/Janke 1,Jim Furyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgy/Janke 1,Matt Kuchar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgy/Janke 1,Zach Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgy/Janke 2,Chris Kirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgy/Janke 2,Danny Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgy/Janke 2,Emiliano Grillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgy/Janke 2,Hideki Matsuyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgy/Janke 2,James Hahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurgy/Janke 2,Justin Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny DeJeung,Dustin Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny DeJeung,Henrik Stenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny DeJeung,Jhonattan Vegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny DeJeung,Jim Furyk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny DeJeung,Matt Kuchar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny DeJeung,Steve Stricker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Ballin' Hitters,Brendan Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Ballin' Hitters,Bubba Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Ballin' Hitters,Daniel Berger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
