"Respondent","Applied_Time","ApplicantID","how_hear","Applicant","app_day"
51,2017-03-08 12:02:04,"A1929","Online job site (other than Indeed)","Yes",1.5014467592565
874,2017-03-21 14:03:54,"W1839","Indeed.com","Yes",14.5860416666694
770,2017-03-20 11:20:53,"D2656","Social media (e.g. Facebook or Twitter)","Yes",13.4728356481509
147,2017-03-09 00:14:03,"G7197","Social media (e.g. Facebook or Twitter)","Yes",2.0097569444472
52,2017-03-08 12:07:22,"M5695","Personal referral","Yes",1.50512731481206
172,2017-03-09 07:08:54,"W3568","Personal referral","Yes",2.29784722222498
788,2017-03-20 15:41:11,"H0008","Personal referral","Yes",13.653599537037
523,2017-03-15 08:27:01,"S4392","Indeed.com","Yes",8.35209490740741
317,2017-03-11 19:45:52,"B5999","Personal referral","Yes",4.82351851851852
404,2017-03-13 15:42:29,"L4503","Indeed.com","Yes",6.65450231481482
640,2017-03-17 19:00:58,"H3955","Online job site (other than Indeed)","Yes",10.7923379629657
606,2017-03-17 00:52:59,"P1690","Indeed.com","Yes",10.0367939814815
133,2017-03-08 23:12:19,"F1134","Social media (e.g. Facebook or Twitter)","Yes",1.96688657407407
7,2017-03-07 22:17:28,"S6229","Tesoro employee","Yes",0.928807870367611
226,2017-03-09 20:54:56,"Q0953","Tesoro website or mailing","Yes",2.87148148148148
397,2017-03-13 13:36:53,"E5775","Personal referral","Yes",6.56728009259811
781,2017-03-20 14:30:06,"A1604","I am currently an employee or contractor at Tesoro","Yes",13.6042361111111
376,2017-03-12 22:39:20,"E6989","Personal referral","Yes",5.94398148148424
408,2017-03-13 16:35:37,"K3059","Personal referral","Yes",6.69140046296572
732,2017-03-19 18:12:41,"B4608","Personal referral","Yes",12.7588194444389
603,2017-03-17 00:33:51,"F6922","Social media (e.g. Facebook or Twitter)","Yes",10.0235185185158
667,2017-03-18 15:16:52,"W0516","Newspaper ad","Yes",11.6367129629657
441,2017-03-13 23:51:08,"S6618","Tesoro employee","Yes",6.99384259259259
380,2017-03-13 00:34:35,"F8231","Tesoro website or mailing","Yes",6.02401620370922
805,2017-03-20 20:06:59,"C0906","Indeed.com","Yes",13.8381944444417
512,2017-03-15 01:41:49,"O6187","Indeed.com","Yes",8.07070601852404
