"","Applied_Time","How_hear","Education","ApplicantID","Applicant","app_day","day_bin"
"40",2017-01-13 13:18:57,"Personal referral (i.e. word of mouth)","High School Diploma or GED","T8877","Yes",2.55482638888889,"3"
"41",2017-01-13 13:22:07,"Indeed.com","Associate's Degree",NA,"No",2.55702546296296,"3"
"42",2017-01-13 15:05:58,"I am currently an employee or contractor at Tesoro","High School Diploma or GED",NA,"No",2.62914351851852,"3"
"43",2017-01-13 15:39:31,"Tesoro website or mailing","High School Diploma or GED","H1249","Yes",2.65244212962963,"3"
"44",2017-01-13 16:13:52,"Indeed.com","Associate's Degree",NA,"No",2.6762962962963,"3"
"45",2017-01-13 16:38:45,"Employment agency","Associate's Degree","G5084","Yes",2.69357638888889,"3"
"46",2017-01-13 18:07:43,"I am currently an employee or contractor at Tesoro","Associate's Degree",NA,"No",2.7553587962963,"3"
"47",2017-01-13 23:55:54,"I am currently an employee or contractor at Tesoro","High School Diploma or GED","C4822","Yes",2.99715277777778,"3"
"48",2017-01-13 23:58:27,"Tesoro website or mailing","Bachelor's Degree",NA,"No",2.99892361111111,"3"
"49",2017-01-14 01:07:46,"Tesoro website or mailing","High School Diploma or GED","G1343","Yes",3.04706018518519,"4"
"50",2017-01-14 01:27:43,"Indeed.com","Associate's Degree","S9798","Yes",3.06091435185185,"4"
"51",2017-01-14 02:21:14,"Indeed.com","Bachelor's Degree",NA,"No",3.0980787037037,"4"
"52",2017-01-14 02:55:59,"Tesoro employee","High School Diploma or GED","K5422","Yes",3.12221064814815,"4"
"53",2017-01-14 03:07:40,"Tesoro employee","High School Diploma or GED",NA,"No",3.13032407407407,"4"
"54",2017-01-14 03:10:24,"Tesoro employee","High School Diploma or GED",NA,"No",3.13222222222222,"4"
"55",2017-01-14 14:27:44,"Indeed.com","Bachelor's Degree","J1239","Yes",3.60259259259259,"4"
"56",2017-01-14 16:29:14,"Indeed.com","Associate's Degree",NA,"No",3.68696759259259,"4"
"57",2017-01-14 17:11:32,"Indeed.com","Associate's Degree","H1081","Yes",3.71634259259259,"4"
"58",2017-01-14 18:56:18,"Tesoro website or mailing","Bachelor's Degree","S1540","Yes",3.78909722222222,"4"
"59",2017-01-14 19:09:50,"Personal referral (i.e. word of mouth)","Associate's Degree",NA,"No",3.79849537037037,"4"
"60",2017-01-14 22:53:35,"Indeed.com","Associate's Degree","W0001","Yes",3.95387731481481,"4"
"61",2017-01-15 12:20:29,"I am currently an employee or contractor at Tesoro","Bachelor's Degree","P6942","Yes",4.51422453703704,"5"
"62",2017-01-15 17:31:20,"Indeed.com","High School Diploma or GED","D4326","Yes",4.73009259259259,"5"
"63",2017-01-15 21:24:12,"I am currently an employee or contractor at Tesoro","Associate's Degree","B4391","Yes",4.89180555555556,"5"
"64",2017-01-15 22:14:28,"Indeed.com","High School Diploma or GED",NA,"No",4.92671296296296,"5"
"65",2017-01-15 23:42:12,"Tesoro employee","High School Diploma or GED",NA,"No",4.98763888888889,"5"
"66",2017-01-16 03:08:07,"Personal referral (i.e. word of mouth)","High School Diploma or GED",NA,"No",5.13063657407407,"6"
"67",2017-01-16 15:07:29,"Tesoro employee","Associate's Degree","M3075","Yes",5.63019675925926,"6"
"68",2017-01-16 16:03:18,"Indeed.com","Associate's Degree","M7795","Yes",5.66895833333333,"6"
"69",2017-01-16 16:18:37,"Tesoro employee","Associate's Degree","A4330","Yes",5.67959490740741,"6"
"70",2017-01-16 17:46:18,"Tesoro website or mailing","High School Diploma or GED","G9596","Yes",5.74048611111111,"6"
