"Respondent","Applied_Time","ApplicantID","how_hear","Applicant","app_day"
307,2017-10-07 00:55:54,"L0880","Andeavor employee","Yes",3.03881944444444
308,2017-10-07 02:42:23,"M1588","Personal referral","Yes",3.1127662037037
309,2017-10-07 03:11:28,"B0005","Personal referral","Yes",3.13296296296296
310,2017-10-07 04:20:28,"G3591","Personal referral","Yes",3.18087962962963
311,2017-10-07 05:41:43,"Y2923","Personal referral","Yes",3.23730324074074
312,2017-10-07 06:00:39,"W8436","Personal referral","Yes",3.25045138888889
313,2017-10-07 09:19:49,"P2808","Indeed.com","Yes",3.38876157407407
314,2017-10-07 10:38:33,"A0783","Online job site (other than Indeed)","Yes",3.4434375
315,2017-10-07 11:33:43,"R6528","Personal referral","Yes",3.48174768518519
316,2017-10-07 12:02:25,"M0145","Personal referral","Yes",3.50167824074074
317,2017-10-07 12:38:09,"M1174","Recruiting organization","Yes",3.52649305555556
318,2017-10-07 12:38:29,NA,"Personal referral","No",3.52672453703704
319,2017-10-07 12:55:57,"M6609","Social media (e.g. Facebook or Twitter)","Yes",3.53885416666667
320,2017-10-07 13:59:42,"W1260","Andeavor employee","Yes",3.583125
321,2017-10-07 14:26:04,"C5620","Personal referral","Yes",3.60143518518519
322,2017-10-07 15:29:54,"B6824","I am currently an employee or contractor at Andeavor","Yes",3.64576388888889
323,2017-10-07 17:04:42,"S2990","Personal referral","Yes",3.71159722222222
324,2017-10-07 17:05:37,"R3639","Andeavor employee","Yes",3.7122337962963
325,2017-10-07 17:11:33,"M6192","Andeavor employee","Yes",3.71635416666667
326,2017-10-07 17:14:39,NA,"Andeavor employee","No",3.71850694444444
327,2017-10-07 17:36:04,"B6413","Andeavor employee","Yes",3.73337962962963
328,2017-10-07 17:58:33,"D7535","Indeed.com","Yes",3.74899305555556
329,2017-10-07 17:59:28,"M7283","Don't remember","Yes",3.74962962962963
330,2017-10-07 18:38:38,"L8306","Andeavor website or mailing","Yes",3.7768287037037
331,2017-10-07 18:41:05,"M5383","Andeavor website or mailing","Yes",3.77853009259259
332,2017-10-07 18:42:54,"G7873","Social media (e.g. Facebook or Twitter)","Yes",3.77979166666667
333,2017-10-07 19:02:03,"D4941","Personal referral","Yes",3.79309027777778
334,2017-10-07 19:07:50,"S9382","Indeed.com","Yes",3.79710648148148
335,2017-10-07 20:00:14,"M3396","Personal referral","Yes",3.83349537037037
336,2017-10-07 20:12:19,"S9009","Personal referral","Yes",3.84188657407407
337,2017-10-07 20:32:15,"M1339","Indeed.com","Yes",3.85572916666667
338,2017-10-07 20:40:55,NA,"Personal referral","No",3.86174768518519
339,2017-10-07 21:05:46,NA,"Andeavor employee","No",3.87900462962963
340,2017-10-07 21:07:55,NA,"Andeavor employee","No",3.88049768518519
